,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,total_length_of_stay,booking_value,total_pax,room_type_changes,has_agent,has_company,country_region_Domestic,country_region_Europe,country_region_International,hotel_City Hotel,hotel_Resort Hotel,meal_BB,meal_FB,meal_HB,meal_SC,meal_Undefined,market_segment_Aviation,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,market_segment_Undefined,distribution_channel_Corporate,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,distribution_channel_Undefined,deposit_type_No Deposit,deposit_type_Non Refund,deposit_type_Refundable,customer_type_Contract,customer_type_Group,customer_type_Transient,customer_type_Transient-Party
0,0,342,2015,27,1,0,0,2,0.0,0,0,0,0,3,0,0.0,0,0,0,0.0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,0,737,2015,27,1,0,0,2,0.0,0,0,0,0,4,0,0.0,0,0,0,0.0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2,0,7,2015,27,1,0,1,1,0.0,0,0,0,0,0,0,75.0,0,0,1,75.0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
3,0,13,2015,27,1,0,1,1,0.0,0,0,0,0,0,0,75.0,0,0,1,75.0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
4,0,14,2015,27,1,0,2,2,0.0,0,0,0,0,0,0,98.0,0,1,2,196.0,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
5,0,14,2015,27,1,0,2,2,0.0,0,0,0,0,0,0,98.0,0,1,2,196.0,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
6,0,0,2015,27,1,0,2,2,0.0,0,0,0,0,0,0,107.0,0,0,2,214.0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
7,0,9,2015,27,1,0,2,2,0.0,0,0,0,0,0,0,103.0,0,1,2,206.0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
8,1,85,2015,27,1,0,3,2,0.0,0,0,0,0,0,0,82.0,0,1,3,246.0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
9,1,75,2015,27,1,0,3,2,0.0,0,0,0,0,0,0,105.5,0,0,3,316.5,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
10,1,23,2015,27,1,0,4,2,0.0,0,0,0,0,0,0,123.0,0,0,4,492.0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
11,0,35,2015,27,1,0,4,2,0.0,0,0,0,0,0,0,145.0,0,0,4,580.0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
12,0,68,2015,27,1,0,4,2,0.0,0,0,0,0,0,0,97.0,0,3,4,388.0,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
13,0,18,2015,27,1,0,4,2,1.0,0,0,0,0,1,0,154.77,0,1,4,619.08,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
14,0,37,2015,27,1,0,4,2,0.0,0,0,0,0,0,0,94.71,0,0,4,378.84,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
15,0,68,2015,27,1,0,4,2,0.0,0,0,0,0,0,0,97.0,0,3,4,388.0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
16,0,37,2015,27,1,0,4,2,0.0,0,0,0,0,0,0,97.5,0,0,4,390.0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
17,0,12,2015,27,1,0,1,2,0.0,0,0,0,0,0,0,88.2,0,0,1,88.2,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
18,0,0,2015,27,1,0,1,2,0.0,0,0,0,0,0,0,107.42,0,0,1,107.42,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
19,0,7,2015,27,1,0,4,2,0.0,0,0,0,0,0,0,153.0,0,1,4,612.0,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
20,0,37,2015,27,1,1,4,1,0.0,0,0,0,0,0,0,97.29,0,1,5,486.4500000000001,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
21,0,72,2015,27,1,2,4,2,0.0,0,0,0,0,1,0,84.67,0,1,6,508.02,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
22,0,72,2015,27,1,2,4,2,0.0,0,0,0,0,1,0,84.67,0,1,6,508.02,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
23,0,72,2015,27,1,2,4,2,0.0,0,0,0,0,1,0,99.67,0,1,6,598.02,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
24,0,127,2015,27,1,2,5,2,0.0,0,0,0,0,0,0,94.95,0,1,7,664.65,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
25,0,78,2015,27,1,2,5,2,0.0,0,0,0,0,0,0,63.6,1,0,7,445.2,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
26,0,48,2015,27,1,2,5,2,0.0,0,0,0,0,0,0,79.5,0,0,7,556.5,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
27,1,60,2015,27,1,2,5,2,0.0,0,0,0,0,0,0,107.0,0,2,7,749.0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
28,0,77,2015,27,1,2,5,2,0.0,0,0,0,0,0,0,94.0,0,0,7,658.0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
29,0,99,2015,27,1,2,5,2,0.0,0,0,0,0,0,0,87.3,1,1,7,611.1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
30,0,118,2015,27,1,4,10,1,0.0,0,0,0,0,2,0,62.0,0,2,14,868.0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
31,0,95,2015,27,1,4,11,2,0.0,0,0,0,0,0,0,63.86,0,0,15,957.9,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
32,1,96,2015,27,1,2,8,2,0.0,0,0,0,0,0,0,108.3,0,2,10,1083.0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
33,0,69,2015,27,2,2,4,2,0.0,0,0,0,0,0,0,65.5,0,0,6,393.0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
34,1,45,2015,27,2,1,3,3,0.0,0,0,0,0,0,0,108.8,0,1,4,435.2,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
35,1,40,2015,27,2,1,3,3,0.0,0,0,0,0,0,0,108.8,0,1,4,435.2,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
36,0,15,2015,27,2,1,3,2,0.0,0,0,0,0,0,0,98.0,0,0,4,392.0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
37,0,36,2015,27,2,1,3,3,0.0,0,0,0,0,0,0,108.8,0,1,4,435.2,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
38,1,43,2015,27,2,1,3,3,0.0,0,0,0,0,0,0,108.8,0,0,4,435.2,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
39,0,70,2015,27,2,2,3,2,0.0,0,0,0,0,0,0,137.0,0,1,5,685.0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
