grid,pole_position,previous_races,previous_wins,previous_win_rate,previous_points,previous_avg_position,previous_podiums,previous_podium_rate,previous_constructor_wins,previous_constructor_points,previous_constructor_races,previous_constructor_win_rate,win
1,1,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,1
2,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
4,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
6,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
9,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
13,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
15,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
14,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
16,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
20,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
21,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
3,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
19,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
5,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
18,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
17,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
8,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
11,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
7,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
10,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
12,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
20,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
10,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
1,1,1,0,0.0,0.0,12.0,0,0.0,1,19.0,1,1.0,1
7,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
8,0,1,0,0.0,0.0,18.0,0,0.0,0,0.0,1,0.0,0
9,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
15,0,1,0,0.0,0.0,14.0,0,0.0,0,0.0,1,0.0,0
16,0,1,0,0.0,0.0,6.0,0,0.0,0,0.0,1,0.0,0
19,0,1,0,0.0,0.0,11.0,0,0.0,0,5.0,1,0.0,0
6,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
4,0,1,0,0.0,0.0,8.0,0,0.0,0,5.0,1,0.0,0
3,0,0,0,0.0,0.0,,0,0.0,0,0.0,1,0.0,0
2,0,1,1,1.0,9.0,1.0,1,1.0,1,19.0,1,1.0,0
5,0,1,0,0.0,6.0,2.0,1,1.0,1,19.0,1,1.0,0
10,0,1,0,0.0,2.0,5.0,0,0.0,0,5.0,1,0.0,0
11,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
12,0,1,0,0.0,0.0,17.0,0,0.0,0,0.0,1,0.0,0
13,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
14,0,1,0,0.0,0.0,7.0,0,0.0,0,0.0,1,0.0,0
17,0,0,0,0.0,0.0,,0,0.0,0,0.0,1,0.0,0
20,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
21,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
18,0,0,0,0.0,0.0,,0,0.0,0,0.0,1,0.0,0
5,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,1
10,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
3,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
12,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
9,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
23,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
1,1,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
4,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
19,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
11,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
16,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
13,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
26,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
6,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
24,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
31,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
27,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
33,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
20,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
14,0,0,0,0.0,0.0,,0,0.0,0,6.0,2,0.0,0
15,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
29,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
30,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
28,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
21,0,0,0,0.0,0.0,,0,0.0,0,6.0,2,0.0,0
22,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
17,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
2,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
32,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
25,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
8,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
18,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
7,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
9,0,1,0,0.0,0.0,31.0,0,0.0,0,0.0,0,0.0,0
17,0,0,0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0
2,0,2,1,0.5,9.0,6.0,1,0.5,2,28.0,2,1.0,1
3,0,2,0,0.0,6.0,7.0,1,0.5,2,28.0,2,1.0,0
10,0,2,0,0.0,2.0,9.0,0,0.0,0,5.0,2,0.0,0
8,0,2,0,0.0,2.0,9.5,0,0.0,0,6.0,3,0.0,0
12,0,0,0,0.0,0.0,,0,0.0,0,6.0,3,0.0,0
11,0,2,0,0.0,0.0,16.0,0,0.0,0,6.0,3,0.0,0
15,0,0,0,0.0,0.0,,0,0.0,0,6.0,3,0.0,0
18,0,1,0,0.0,0.0,19.0,0,0.0,0,5.0,2,0.0,0
16,0,2,0,0.0,4.0,10.5,1,0.5,0,6.0,3,0.0,0
14,0,2,0,0.0,0.0,9.0,0,0.0,0,5.0,2,0.0,0
17,0,0,0,0.0,0.0,,0,0.0,0,6.0,3,0.0,0
1,1,2,1,0.5,9.0,6.5,1,0.5,2,28.0,2,1.0,0
6,0,2,0,0.0,0.0,8.5,0,0.0,0,5.0,2,0.0,0
9,0,1,0,0.0,0.0,19.0,0,0.0,0,5.0,2,0.0,0
13,0,1,0,0.0,3.0,4.0,0,0.0,0,9.0,1,0.0,0
4,0,1,0,0.0,0.0,8.0,0,0.0,0,9.0,1,0.0,0
5,0,1,0,0.0,6.0,2.0,1,1.0,0,9.0,1,0.0,0
7,0,1,0,0.0,3.0,4.0,0,0.0,0,5.0,2,0.0,0
2,0,3,1,0.3333333333333333,9.0,8.333333333333334,1,0.3333333333333333,3,43.0,3,1.0,1
3,0,3,0,0.0,12.0,5.333333333333333,2,0.6666666666666666,3,43.0,3,1.0,0
8,0,3,0,0.0,6.0,7.0,1,0.3333333333333333,0,9.0,3,0.0,0
1,1,3,2,0.6666666666666666,18.0,4.333333333333333,2,0.6666666666666666,3,43.0,3,1.0,0
7,0,2,0,0.0,6.0,9.5,1,0.5,0,9.0,2,0.0,0
4,0,2,0,0.0,0.0,12.0,0,0.0,0,9.0,2,0.0,0
10,0,0,0,0.0,0.0,,0,0.0,0,9.0,3,0.0,0
14,0,3,0,0.0,0.0,9.333333333333334,0,0.0,0,9.0,3,0.0,0
12,0,1,0,0.0,0.0,16.0,0,0.0,0,0.0,1,0.0,0
11,0,1,0,0.0,0.0,11.0,0,0.0,0,11.0,4,0.0,0
13,0,0,0,0.0,0.0,,0,0.0,0,9.0,3,0.0,0
5,0,2,0,0.0,3.0,9.5,0,0.0,0,9.0,3,0.0,0
6,0,3,0,0.0,0.0,10.0,0,0.0,0,9.0,3,0.0,0
9,0,2,0,0.0,3.0,11.0,0,0.0,0,9.0,3,0.0,0
1,1,4,2,0.5,17.0,6.5,2,0.5,4,61.0,4,1.0,1
3,0,4,0,0.0,18.0,4.5,3,0.75,4,61.0,4,1.0,0
